structure_id,kind,frequency,reference_learnability,formal_utility,component_a,component_b,log_frequency,true_mechanism,log_acquired_at,acquired_at,replicate
S00,atomic,0.05084635016131123,1.1132786845818519,0.5715298307297609,,,-2.978946935616013,frequency_only,10.916011928698346,55050.81400545912,0
S01,atomic,0.018811720047191692,1.4971331059982558,0.32186939107594215,,,-3.9732751965648356,frequency_only,11.91543727555264,149557.65887511877,0
S02,atomic,0.01012332814256432,3.6824976587745213,0.5943000301996968,,,-4.592912801246888,frequency_only,12.103041767997443,180419.82369128295,0
S03,atomic,0.009474858194889949,3.5887580462970003,0.33791122550713326,,,-4.659113494258627,frequency_only,12.577517973712013,289965.71583403164,0
S04,atomic,0.0819624120647916,3.4615404459250154,0.39161900052816123,,,-2.5014945262520065,frequency_only,10.305222207940478,29888.29490371802,0
S05,atomic,0.10730465615582577,2.5347102170475337,0.8902743520047923,,,-2.2320832364675303,frequency_only,10.141930946454496,25385.43710993143,0
S06,atomic,0.046837504137788415,4.988839743156844,0.22715759353337972,,,-3.0610710264974905,frequency_only,10.945076337119474,56674.31206850185,0
S07,atomic,0.06532647735272475,4.92334135510492,0.6231871446860424,,,-2.7283578523895518,frequency_only,10.659665164199492,42602.36998665334,0
S08,atomic,0.03949001619346059,3.742167937922779,0.08401534358238483,,,-3.231707393593499,frequency_only,10.886866108219074,53469.46959500433,0
S09,atomic,0.113989596240851,3.601837105071265,0.8326441476533978,,,-2.171648095788578,frequency_only,10.006985908433958,22180.879399639416,0
S10,atomic,0.08253781064608755,3.7537869222837603,0.7870983074886834,,,-2.4944987797600637,frequency_only,10.452563729840815,34633.05077572092,0
S11,atomic,0.009127575569532516,2.555685695916415,0.23936944299295215,,,-4.696455165034901,frequency_only,12.519891558693411,273728.3742156743,0
S12,composite,0.0923677545990071,1.5403860200896449,0.30676948078374633,S06,S04,-2.381977337431259,frequency_only,10.49414058512279,36103.33726719304,0
S13,composite,0.009922803992214155,3.885953360776327,0.02049881218181802,S12,S02,-4.612919737020073,frequency_only,12.243655221399836,207659.54637602833,0
S14,composite,0.0653545914085885,3.1014172899029036,0.11764097119098112,S08,S13,-2.727927582625713,frequency_only,10.679719978800405,43465.37742071851,0
S15,composite,0.014578799095124873,2.2409675022358226,0.05259781341319367,S04,S13,-4.228186922314861,frequency_only,11.85520832023509,140815.85462466365,0
S16,composite,0.09382355765220658,2.9433414353271563,0.15761877832725044,S13,S03,-2.3663393068134897,frequency_only,10.603052143619786,40257.521848863704,0
S17,composite,0.039259297073168116,4.557951337396001,0.27871349460055295,S00,S15,-3.2375669946708747,frequency_only,11.098284674022004,66057.75235183962,0
S18,composite,0.02039967487745838,4.736174063824999,0.0807247731478116,S10,S01,-3.8922363155894386,frequency_only,12.04178763580034,169700.03132289322,0
S19,composite,0.028461216395213058,2.431180786836281,0.01820745537254336,S11,S14,-3.5592129466781586,frequency_only,11.153527499089956,69809.64774839046,0
S00,atomic,0.05084635016131123,1.1132786845818519,0.5715298307297609,,,-2.978946935616013,frequency_only,10.720836418956434,45289.76822476872,1
S01,atomic,0.018811720047191692,1.4971331059982558,0.32186939107594215,,,-3.9732751965648356,frequency_only,11.765845299467893,128778.00371629787,1
S02,atomic,0.01012332814256432,3.6824976587745213,0.5943000301996968,,,-4.592912801246888,frequency_only,12.55901568064167,284650.01316860435,1
S03,atomic,0.009474858194889949,3.5887580462970003,0.33791122550713326,,,-4.659113494258627,frequency_only,12.556044754527225,283805.5939856043,1
S04,atomic,0.0819624120647916,3.4615404459250154,0.39161900052816123,,,-2.5014945262520065,frequency_only,10.314720141454519,30173.52434245758,1
S05,atomic,0.10730465615582577,2.5347102170475337,0.8902743520047923,,,-2.2320832364675303,frequency_only,10.24741357730861,28209.48582983336,1
S06,atomic,0.046837504137788415,4.988839743156844,0.22715759353337972,,,-3.0610710264974905,frequency_only,10.905638978634581,54482.72612815765,1
S07,atomic,0.06532647735272475,4.92334135510492,0.6231871446860424,,,-2.7283578523895518,frequency_only,10.55177920536476,38245.42427742168,1
S08,atomic,0.03949001619346059,3.742167937922779,0.08401534358238483,,,-3.231707393593499,frequency_only,11.13726709463363,68683.69368377553,1
S09,atomic,0.113989596240851,3.601837105071265,0.8326441476533978,,,-2.171648095788578,frequency_only,10.035666298390469,22826.246117579907,1
S10,atomic,0.08253781064608755,3.7537869222837603,0.7870983074886834,,,-2.4944987797600637,frequency_only,10.483679432183072,35727.623361093974,1
S11,atomic,0.009127575569532516,2.555685695916415,0.23936944299295215,,,-4.696455165034901,frequency_only,12.099155660020589,179720.05334746238,1
S12,composite,0.0923677545990071,1.5403860200896449,0.30676948078374633,S06,S04,-2.381977337431259,frequency_only,10.241708852781594,28049.016635590157,1
S13,composite,0.009922803992214155,3.885953360776327,0.02049881218181802,S12,S02,-4.612919737020073,frequency_only,12.048296854606743,170808.2488605241,1
S14,composite,0.0653545914085885,3.1014172899029036,0.11764097119098112,S08,S13,-2.727927582625713,frequency_only,10.712329381843787,44906.12065143127,1
S15,composite,0.014578799095124873,2.2409675022358226,0.05259781341319367,S04,S13,-4.228186922314861,frequency_only,12.119728476715478,183455.6956481003,1
S16,composite,0.09382355765220658,2.9433414353271563,0.15761877832725044,S13,S03,-2.3663393068134897,frequency_only,10.31554846350754,30198.52809223685,1
S17,composite,0.039259297073168116,4.557951337396001,0.27871349460055295,S00,S15,-3.2375669946708747,frequency_only,11.163990860044532,70543.92610144668,1
S18,composite,0.02039967487745838,4.736174063824999,0.0807247731478116,S10,S01,-3.8922363155894386,frequency_only,11.658908654320744,115717.67349948034,1
S19,composite,0.028461216395213058,2.431180786836281,0.01820745537254336,S11,S14,-3.5592129466781586,frequency_only,11.298291577618745,80683.67792605163,1
S00,atomic,0.05084635016131123,1.1132786845818519,0.5715298307297609,,,-2.978946935616013,frequency_only,10.903971329351284,54391.9437665873,2
S01,atomic,0.018811720047191692,1.4971331059982558,0.32186939107594215,,,-3.9732751965648356,frequency_only,11.775909870713189,130080.64336836725,2
S02,atomic,0.01012332814256432,3.6824976587745213,0.5943000301996968,,,-4.592912801246888,frequency_only,12.217508219790435,202300.2420793241,2
S03,atomic,0.009474858194889949,3.5887580462970003,0.33791122550713326,,,-4.659113494258627,frequency_only,12.405485225607043,244137.0985069088,2
S04,atomic,0.0819624120647916,3.4615404459250154,0.39161900052816123,,,-2.5014945262520065,frequency_only,10.419489259253258,33506.31673370767,2
S05,atomic,0.10730465615582577,2.5347102170475337,0.8902743520047923,,,-2.2320832364675303,frequency_only,10.243057397319234,28086.86749981214,2
S06,atomic,0.046837504137788415,4.988839743156844,0.22715759353337972,,,-3.0610710264974905,frequency_only,10.716896434798599,45111.67832153094,2
S07,atomic,0.06532647735272475,4.92334135510492,0.6231871446860424,,,-2.7283578523895518,frequency_only,10.654274660379086,42373.33959766323,2
S08,atomic,0.03949001619346059,3.742167937922779,0.08401534358238483,,,-3.231707393593499,frequency_only,11.051021077223158,63008.25806770605,2
S09,atomic,0.113989596240851,3.601837105071265,0.8326441476533978,,,-2.171648095788578,frequency_only,10.379694628716193,32199.127301141267,2
S10,atomic,0.08253781064608755,3.7537869222837603,0.7870983074886834,,,-2.4944987797600637,frequency_only,10.401910563658006,32922.466092266586,2
S11,atomic,0.009127575569532516,2.555685695916415,0.23936944299295215,,,-4.696455165034901,frequency_only,12.403730088570917,243708.98025642743,2
S12,composite,0.0923677545990071,1.5403860200896449,0.30676948078374633,S06,S04,-2.381977337431259,frequency_only,10.44470595293038,34361.97839690838,2
S13,composite,0.009922803992214155,3.885953360776327,0.02049881218181802,S12,S02,-4.612919737020073,frequency_only,12.571714179718398,288287.6887261678,2
S14,composite,0.0653545914085885,3.1014172899029036,0.11764097119098112,S08,S13,-2.727927582625713,frequency_only,10.668069584094034,42961.92701020656,2
S15,composite,0.014578799095124873,2.2409675022358226,0.05259781341319367,S04,S13,-4.228186922314861,frequency_only,11.994604216530739,161878.96681082403,2
S16,composite,0.09382355765220658,2.9433414353271563,0.15761877832725044,S13,S03,-2.3663393068134897,frequency_only,10.452572708980172,34633.36175210636,2
S17,composite,0.039259297073168116,4.557951337396001,0.27871349460055295,S00,S15,-3.2375669946708747,frequency_only,10.87110745280691,52633.46708697667,2
S18,composite,0.02039967487745838,4.736174063824999,0.0807247731478116,S10,S01,-3.8922363155894386,frequency_only,11.713178954387486,122171.24100786562,2
S19,composite,0.028461216395213058,2.431180786836281,0.01820745537254336,S11,S14,-3.5592129466781586,frequency_only,11.741911103448682,125732.39817947202,2
S00,atomic,0.05084635016131123,1.1132786845818519,0.5715298307297609,,,-2.978946935616013,frequency_only,11.004225033539463,60127.64712942146,3
