condition,seed,task_name,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold,copy_fraction,structure_id,kind,op,operation_type,components,frequency,reference_learnability,formal_utility,composition_depth,control_type,output_entropy,random_baseline_token_accuracy,target_length,max_data_seen,censored_acquired_at,is_censored,log_acquired_at,log_frequency,selected_model,parallel_pred_log_time,parallel_pred_time,parallel_residual_log_time,parallel_residual_time
base,0,A00_copy,14336.0,0.7,2,token_accuracy,0.9593099355697632,0.755859375,0.755859375,token_accuracy,0.7,1.0,A00_copy,atomic,copy,copy,,0.0109061632033235,1.0,0.0530821971476897,1,,4.990049996770939,0.0382486979166666,6,250112,14336.0,False,9.570598887246268,-4.518427218045626,frequency_only,11.278031413688684,79064.46140343891,-1.7074325264424157,-64728.46140343891
base,0,A01_reverse,57856.0,0.7,2,token_accuracy,0.8590494990348816,0.228515625,0.228515625,token_accuracy,0.7,0.0283203125,A01_reverse,atomic,reverse,reverse,,0.0120540867248666,2.0,0.0752749154615973,1,,4.990049996770939,0.0382486979166666,6,250112,57856.0,False,10.965729727894512,-4.418351529251082,frequency_only,11.222536280219863,74796.24114692435,-0.2568065523253509,-16940.241146924353
base,0,A02_substitute,,0.7,2,token_accuracy,0.6927083730697632,0.0,0.0,token_accuracy,0.7,0.0,A02_substitute,atomic,substitute,substitute,,0.018948519685711,1.5,0.0426733752056038,1,,4.99004999677094,0.0382486979166666,6,250112,250112.0,True,12.429668094723155,-3.9660294673540055,frequency_only,10.971709396106132,58203.00210849595,1.4579586986170234,191908.99789150406
base,0,A03_copy,14336.0,0.7,2,token_accuracy,0.9602864980697632,0.765625,0.765625,token_accuracy,0.7,1.0,A03_copy,atomic,copy,copy,,0.280037251940008,1.0,0.1162344687252579,1,,4.990049996770939,0.0382486979166666,6,250112,14336.0,False,9.570598887246268,-1.2728326420193892,frequency_only,9.478246607290437,13071.245627679902,0.09235227995583095,1264.754372320098
base,0,A04_reverse,57856.0,0.7,2,token_accuracy,0.8603515625,0.26171875,0.26171875,token_accuracy,0.7,0.0283203125,A04_reverse,atomic,reverse,reverse,,0.0134641728018988,2.0,0.1679114697925501,1,,4.990049996770939,0.0382486979166666,6,250112,57856.0,False,10.965729727894512,-4.307722987810365,frequency_only,11.161189256315609,70345.56656572291,-0.1954595284210967,-12489.566565722911
base,0,A05_substitute,,0.7,2,token_accuracy,0.6920573115348816,0.0,0.0,token_accuracy,0.7,0.0,A05_substitute,atomic,substitute,substitute,,0.0095362756947815,1.5,0.0,1,,4.99004999677094,0.0382486979166666,6,250112,250112.0,True,12.429668094723155,-4.65265225813101,frequency_only,11.352463442127567,85174.01700079537,1.0772046525955883,164937.98299920463
base,0,A06_copy,14336.0,0.7,2,token_accuracy,0.955078125,0.736328125,0.736328125,token_accuracy,0.7,1.0,A06_copy,atomic,copy,copy,,0.1352490775505667,1.0,0.1284501107688861,1,,4.990049996770939,0.0382486979166666,6,250112,14336.0,False,9.570598887246268,-2.000637181607332,frequency_only,9.881837235045868,19570.64736734527,-0.31123834779960013,-5234.647367345271
base,0,A07_reverse,57856.0,0.7,2,token_accuracy,0.8564453125,0.23046875,0.23046875,token_accuracy,0.7,0.0283203125,A07_reverse,atomic,reverse,reverse,,0.0142969842826973,2.0,0.031814849645611,1,,4.990049996770939,0.0382486979166666,6,250112,57856.0,False,10.965729727894512,-4.2477066532784225,frequency_only,11.127908301317662,68042.8957286506,-0.16217857342314979,-10186.895728650605
base,0,C00_reverse_then_substitute_06_04,57856.0,0.7,2,token_accuracy,0.8636068105697632,0.251953125,0.251953125,token_accuracy,0.7,0.0283203125,C00_reverse_then_substitute_06_04,composite,reverse_then_substitute,reverse_then_substitute,"A06_copy,A04_reverse",0.0516770010672922,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,57856.0,False,10.965729727894512,-2.962742450075196,frequency_only,10.415355024709001,33367.079710648715,0.5503747031855113,24488.920289351285
base,0,C01_substitute_then_reverse_03_04,57856.0,0.7,2,token_accuracy,0.859375,0.236328125,0.236328125,token_accuracy,0.7,0.0283203125,C01_substitute_then_reverse_03_04,composite,substitute_then_reverse,substitute_then_reverse,"A03_copy,A04_reverse",0.0278779716606898,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,57856.0,False,10.965729727894512,-3.579918448222423,frequency_only,10.757598628560178,46984.70232495452,0.20813109933433438,10871.297675045484
